Name,GB%,GB SQ%,FB%,FB SQ%
Rafael Devers,0.3923444976076555,0.6707317073170732,0.6076555023923444,0.7913385826771654
Salvador Perez,0.32346723044397463,0.5620915032679739,0.6765327695560254,0.671875
Austin Wells,0.29591836734693877,0.6436781609195402,0.7040816326530612,0.6618357487922706
Alec Bohm,0.4444444444444444,0.6686046511627907,0.5555555555555556,0.7302325581395349
Trevor Larnach,0.42118863049095606,0.7116564417177914,0.5788113695090439,0.6830357142857143
Kyle Schwarber,0.29411764705882354,0.575,0.7058823529411765,0.71875
Trent Grisham,0.3268156424581006,0.6153846153846154,0.6731843575418994,0.8091286307053942
Spencer Steer,0.31842105263157894,0.5619834710743802,0.6815789473684211,0.6640926640926641
Maikel Garcia,0.4305019305019305,0.726457399103139,0.5694980694980695,0.6983050847457627
Kerry Carpenter,0.27300613496932513,0.6966292134831461,0.7269938650306749,0.7932489451476793
Rhys Hoskins,0.24742268041237114,0.75,0.7525773195876289,0.7397260273972602
Max Kepler,0.3333333333333333,0.7064220183486238,0.6666666666666666,0.7431192660550459
Trevor Story,0.3761467889908257,0.6341463414634146,0.6238532110091743,0.7242647058823529
Jason Heyward,0.39705882352941174,0.5185185185185185,0.6029411764705882,0.5853658536585366
Brendan Rodgers,0.38571428571428573,0.5185185185185185,0.6142857142857143,0.6744186046511628
William Contreras,0.4501108647450111,0.6059113300492611,0.549889135254989,0.7983870967741935
Max Muncy,0.4316546762589928,0.4666666666666667,0.5683453237410072,0.5949367088607594
Tommy Pham,0.49174917491749176,0.6308724832214765,0.5082508250825083,0.7207792207792207
Kyle Stowers,0.3489208633093525,0.5979381443298969,0.6510791366906474,0.6795580110497238
Chas McCormick,0.3783783783783784,0.5357142857142857,0.6216216216216216,0.6304347826086957
Gavin Sheets,0.35142118863049093,0.5808823529411765,0.648578811369509,0.6254980079681275
Corbin Carroll,0.324455205811138,0.5597014925373134,0.6755447941888619,0.7060931899641577
Joc Pederson,0.36,0.6805555555555556,0.64,0.6953125
Spencer Torkelson,0.23809523809523808,0.5684210526315789,0.7619047619047619,0.694078947368421
Nathaniel Lowe,0.39425587467362927,0.5165562913907285,0.6057441253263708,0.6594827586206896
Rowdy Tellez,0.36363636363636365,0.6842105263157895,0.6363636363636364,0.6541353383458647
Zach McKinstry,0.34293948126801155,0.5630252100840336,0.6570605187319885,0.7324561403508771
Isiah Kiner-Falefa,0.5166666666666667,0.6451612903225806,0.48333333333333334,0.6724137931034483
Willi Castro,0.3664383561643836,0.5233644859813084,0.6335616438356164,0.6756756756756757
Jesse Winker,0.3137254901960784,0.6875,0.6862745098039216,0.6857142857142857
J.T. Realmuto,0.40691489361702127,0.5555555555555556,0.5930851063829787,0.7219730941704036
Kyle Farmer,0.35545023696682465,0.64,0.6445497630331753,0.7794117647058824
Nick Allen,0.41843971631205673,0.7711864406779662,0.5815602836879432,0.6951219512195121
Hunter Goodman,0.3281653746770026,0.6141732283464567,0.6718346253229974,0.6730769230769231
Brent Rooker,0.3298097251585624,0.5833333333333334,0.6701902748414377,0.6466876971608833
Ryan McMahon,0.38509316770186336,0.6532258064516129,0.6149068322981367,0.7575757575757576
Jose Herrera,0.40601503759398494,0.7407407407407407,0.5939849624060151,0.6455696202531646
Yandy Diaz,0.5111561866125761,0.6587301587301587,0.48884381338742394,0.7178423236514523
Trey Sweeney,0.4174757281553398,0.5232558139534884,0.5825242718446602,0.5833333333333334
Martin Maldonado,0.375,0.5555555555555556,0.625,0.6333333333333333
Leody Taveras,0.36,0.6888888888888889,0.64,0.6
Dylan Moore,0.3,0.5714285714285714,0.7,0.5918367346938775
Liam Hicks,0.39285714285714285,0.6363636363636364,0.6071428571428571,0.7470588235294118
Taylor Walls,0.35909090909090907,0.6582278481012658,0.6409090909090909,0.7659574468085106
Jonah Heim,0.38461538461538464,0.7333333333333333,0.6153846153846154,0.7395833333333334
Alek Thomas,0.49843260188087773,0.6540880503144654,0.5015673981191222,0.75
Adam Frazier,0.3372093023255814,0.6896551724137931,0.6627906976744186,0.75
Josh Lowe,0.40069686411149824,0.5826086956521739,0.5993031358885017,0.7151162790697675
Jordan Beck,0.3626373626373626,0.4772727272727273,0.6373626373626373,0.646551724137931
Pavin Smith,0.37012987012987014,0.6842105263157895,0.6298701298701299,0.7319587628865979
Mitch Garver,0.3107344632768362,0.6181818181818182,0.6892655367231638,0.7786885245901639
